surface,functional
CD3(Cd110)Di,pCrkL(Lu175)Di
CD3(Cd111)Di,pCREB(Yb176)Di
CD3(Cd112)Di,pBTK(Yb171)Di
CD235-61-7-15(In113)Di,pS6(Yb172)Di
CD3(Cd114)Di,cPARP(La139)Di
CD45(In115)Di,pPLCg2(Pr141)Di
CD19(Nd142)Di,pSrc(Nd144)Di
CD22(Nd143)Di,Ki67(Sm152)Di
IgD(Nd145)Di,pErk12(Gd155)Di
CD79b(Nd146)Di,pSTAT3(Gd158)Di
CD20(Sm147)Di,pAKT(Tb159)Di
CD34(Nd148)Di,pBLNK(Gd160)Di
CD179a(Sm149)Di,pP38(Tm169)Di
CD72(Eu151)Di,pSTAT5(Nd150)Di
IgM(Eu153)Di,pSyk(Dy162)Di
Kappa(Sm154)Di,tIkBa(Er166)Di
CD10(Gd156)Di,
Lambda(Gd157)Di,
CD24(Dy161)Di,
TdT(Dy163)Di,
Rag1(Dy164)Di,
PreBCR(Ho165)Di,
CD43(Er167)Di,
CD38(Er168)Di,
CD40(Er170)Di,
CD33(Yb173)Di,
HLA-DR(Yb174)Di,